S.No,File,Requirement,Type,fine_grained_class
47,1,The system shall refresh the display every 60 seconds.,PE,NFR-PE
48,1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,NFR-LF
49,1,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US,NFR-US
50,1,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,NFR-A
51,1,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US,NFR-US
52,1,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE,NFR-SE
53,1,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,NFR-US
54,1,The product shall respond fast to keep up-to-date data in the display.,PE,NFR-PE
55,1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,FR-Data
56,1,The system shall display Events in a vertical table by time.,F,FR-UI
57,1,The system shall display the Events in a graph by time.,F,FR-UI
58,1,The system shall display Events or Activities.,F,FR-UI
59,1,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,FR-UI
60,1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,FR-Data
61,1,The table side of the display shall be split into 2 regions: sequential and temporal.,F,FR-UI
62,1,The top 1/4 of the table will hold events that are to occur sequentially.,F,FR-Data
63,1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,FR-Data
64,1,The system shall color code events according to their variance from current time.,F,FR-Integration
65,1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F,FR-Integration
66,1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,FR-Integration
67,1,The system shall allow modification of the display.,F,FR-Integration
68,1,The system shall offer a display of all the Events in the exercise.,F,FR-Integration
69,1,The system shall filter data by: Venues and Key Events.,F,FR-Integration
70,1,The system shall allow a user to define the time segments,F,FR-Integration
71,1,The system shall display the local and exercise time in separate clocks,F,FR-UI
72,1,The system shall offer the ability to pause and resume the refresh of data.,F,FR-Integration
73,1,The system shall provide charts for the Activity or Event actual versus assumed time.,F,FR-Integration
74,1,The system shall provide a history report of changes made to the Activity or Event data,F,FR-Integration
75,2,The look and feel of the system shall conform to the user interface standards of the smart device.,LF,NFR-LF
76,2,The user interface shall have standard menus buttons for navigation,LF,NFR-LF
77,2,The system shall have a professional appearance,LF,NFR-LF
78,2,The product shall have a consistent color scheme and fonts.,LF,NFR-LF
79,2,The system shall be used by realtors with no training.,US,NFR-US
80,2,The system shall be intuitive and self explanatory.,US,NFR-US
81,2,The product shall be easy for a realtor to learn.,US,NFR-US
82,2,The product shall use symbols and words that are naturally understandable by the realtor community.,US,NFR-US
83,2,The product shall produce search results in an acceptable time,PE,NFR-PE
84,2,The search results shall be returned no later 30 seconds  after the user has entered the search criteria,PE,NFR-PE
85,2,The product shall generate a CMA report in an acceptable time.,PE,NFR-PE
86,2,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE,NFR-PE
87,2,The product shall synchronize contacts and appointments in an acceptable time.,PE,NFR-PE
88,2,The product shall synchronize with the office system every hour.,PE,NFR-PE
89,2,The product shall be available for use 24 hours per day 365 days  per year,A,NFR-A
90,2,Out of 1000 accesses to the system the system is available 999 times.,A,NFR-A
91,2,The product shall operate in offline mode whenever internet connection is unavailable.,FT,NFR-FT
92,2,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT,NFR-FT
93,2,The product shall retain user preferences in the event of a failure.,FT,NFR-FT
94,2,100% of saved user preferences shall be restored when system comes back online.,FT,NFR-FT
95,2,The product shall be able to support multiple remote users,SC,NFR-SC
96,2,The product shall be able support 1000 simultaneous users.,SC,NFR-SC
97,2,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC,NFR-SC
98,2,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US,NFR-US
99,2,90% of untrained realtors shall be able to install the product on their device without printed instructions,US,NFR-US
100,2,The product is expected to run on Windows CE and Palm operating systems.,PO,NFR-PO
101,2,Only registered realtors shall be able to access the system.,SE,NFR-SE
102,2,Every user of the system shall be authenticated and authorized.,SE,NFR-SE
103,2,The product shall prevent its data from incorrect data being introduced.,SE,NFR-SE
104,2,The system shall allow a real estate agent to query MLS information,F,FR-Integration
105,2,The user shall be able to get driving directions to a selected property,F,FR-UI
106,2,The user shall be able to download appointments and contact information for clients,F,FR-UI
107,2,The system shall display clear property images in the search results,F,FR-UI
108,2,The system shall update or create new property listings in the MLS,F,FR-Integration
109,2,Realtor shall be able to generate a CMA report based on property criteria,F,FR-UI
110,2,The system shall be able to call the seller or buyer to schedule an appointment,F,FR-Integration
111,2,The realtor shall be notified of new client appointments after automatic synchronization with office system,F,FR-Integration
112,2,The realtor shall be able to retrieve a map showing property locations for a specified area,F,FR-Data
113,2,The system shall notify the realtor when a seller or buyer responds to an appointment request,F,FR-Notification
114,2,The product shall allow the user to save the property search results.,F,FR-Data
115,3,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US,NFR-US
116,3,All of the users shall be able to use the system after one day of training.,US,NFR-US
117,3,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US,NFR-US
118,3,The number of mistakes noted by the students shall be decreased by 50% in the first year.,US,NFR-US
119,3,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US,NFR-US
120,3,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US,NFR-US
121,3,The system shall use symbols and words that are naturally understandable by the user community.,US,NFR-US
122,3,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US,NFR-US
123,3,Staff members shall be able to complete a set of tasks in a timely manner.,PE,NFR-PE
124,3,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE,NFR-PE
125,3,The system shall be available for use between the hours of 8am and 6pm.,A,NFR-A
126,3,The system shall achieve 95% up time.,A,NFR-A
127,3,system shall be able to handle all of the user requests/usage during business hours.,SC,NFR-SC
128,3,The system shall cater to 10 simultaneous users from 9am to 5pm.,SC,NFR-SC
129,3,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC,NFR-SC
130,3,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC,NFR-SC
131,3,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O,NFR-O
132,3,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O,NFR-O
133,3,The system shall operate within the Windows XP Professional operating system.,O,NFR-O
134,3,The system shall interface with CampusConnect\92s central server,O,NFR-O
135,3,The system shall interface with the faculty central server.,O,NFR-O
136,3,The system shall interface with the student master server.,O,NFR-O
137,3,We must be able to interface with any HTML browser.,O,NFR-O
138,3,Only authorized users shall have access to clinical site information.,SE,NFR-SE
139,3,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE,NFR-SE
140,3,Only authorized users shall have access to students\92 personal information.,SE,NFR-SE
